Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Chrome 112.0.0.0,,,2023-04-25 17:12:10,2023-04-25 17:12:25,15.478s,PASSED
,,,,,,,
Test Cases/TC2,Chrome 112.0.0.0,,,2023-04-25 17:12:10,2023-04-25 17:12:19,9.156s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 17:12:11,2023-04-25 17:12:14,3.381s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-25 17:12:14,2023-04-25 17:12:15,1.260s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-25 17:12:15,2023-04-25 17:12:15,0.167s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 112.0.0.0,,,2023-04-25 17:12:15,2023-04-25 17:12:17,1.109s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""secret_sauce"")",Chrome 112.0.0.0,,,2023-04-25 17:12:17,2023-04-25 17:12:17,0.864s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-25 17:12:17,2023-04-25 17:12:18,0.552s,PASSED
"ProductTitle = getText(findTestObject(""Object Repository/txt_product_title"", [""ProductTitle"":productTitle]))",Chrome 112.0.0.0,,,2023-04-25 17:12:18,2023-04-25 17:12:18,0.490s,PASSED
"print(""__________________________________________________________"")",Chrome 112.0.0.0,,,2023-04-25 17:12:18,2023-04-25 17:12:18,0.003s,PASSED
"print(""

"" + ProductTitle + ""

"")",Chrome 112.0.0.0,,,2023-04-25 17:12:18,2023-04-25 17:12:18,0.000s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-25 17:12:18,2023-04-25 17:12:19,0.966s,PASSED
,,,,,,,
Test Cases/TC2,Chrome 112.0.0.0,,,2023-04-25 17:12:19,2023-04-25 17:12:25,5.969s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-25 17:12:19,2023-04-25 17:12:21,1.456s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-25 17:12:21,2023-04-25 17:12:22,0.910s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-25 17:12:22,2023-04-25 17:12:22,0.149s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 112.0.0.0,,,2023-04-25 17:12:22,2023-04-25 17:12:23,0.906s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""secret_sauce"")",Chrome 112.0.0.0,,,2023-04-25 17:12:23,2023-04-25 17:12:24,0.924s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-25 17:12:24,2023-04-25 17:12:24,0.401s,PASSED
"ProductTitle = getText(findTestObject(""Object Repository/txt_product_title"", [""ProductTitle"":productTitle]))",Chrome 112.0.0.0,,,2023-04-25 17:12:24,2023-04-25 17:12:25,0.479s,PASSED
"print(""__________________________________________________________"")",Chrome 112.0.0.0,,,2023-04-25 17:12:25,2023-04-25 17:12:25,0.001s,PASSED
"print(""

"" + ProductTitle + ""

"")",Chrome 112.0.0.0,,,2023-04-25 17:12:25,2023-04-25 17:12:25,0.000s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-25 17:12:25,2023-04-25 17:12:25,0.726s,PASSED
